	chao1
A1-Placa-E2	202.66666666666666
A10-Placa-E2	152.0
A11-Placa-E2	236.16666666666666
A12-Placa-E2	185.0
A2-Placa-E2	176.14285714285714
A3-Placa-E1	189.33333333333334
A3-Placa-E2	144.75
A4-Placa-E2	138.0
A5-Placa-E2	164.0
A6-Placa-E2	204.2
A7-Placa-E2	244.0
A8-Placa-E2	121.0
A9-Placa-E2	139.0
B1-Placa-E2	289.2
B10-Placa-E2	200.5
B11-Placa-E2	204.25
B12-Placa-E2	179.0
B2-Placa-E1	233.0
B2-Placa-E2	203.2
B3-Placa-E1	167.0
B3-Placa-E2	161.0
B4-Placa-E2	231.33333333333334
B5-Placa-E2	173.66666666666666
B7-Placa-E2	175.2
B8-Placa-E2	212.33333333333334
B9-Placa-E2	198.08333333333334
C1-Placa-E1	191.5
C10-Placa-E2	160.25
C11-Placa-E2	164.0
C12-Placa-E2	202.0
C2-Placa-E1	218.42857142857142
C2-Placa-E2	161.6
C4-Placa-E2	215.11111111111111
C5-Placa-E2	198.0
C6-Placa-E2	154.0
C7-Placa-E2	239.21428571428572
C8-Placa-E2	184.33333333333334
C9-Placa-E2	240.66666666666666
D1-Placa-E1	202.14285714285714
D10-Placa-E2	156.6
D11-Placa-E2	102.0
D12-Placa-E2	258.6666666666667
D2-Placa-E1	213.5
D2-Placa-E2	170.0
D3-Placa-E2	177.5
D4-Placa-E2	142.0
D5-Placa-E2	190.0
D6-Placa-E2	156.0
D7-Placa-E2	191.5
D8-Placa-E2	138.0
D9-Placa-E2	170.2
E1-Placa-E1	233.0
E10-Placa-E2	161.0
E11-Placa-E2	212.2
E12-Placa-E2	153.5
E2-Placa-E1	246.875
E2-Placa-E2	164.25
E3-Placa-E2	148.0
E4-Placa-E2	145.0
E5-Placa-E2	167.5
E6-Placa-E2	207.42857142857142
E7-Placa-E2	221.33333333333334
E8-Placa-E2	185.5
E9-Placa-E2	122.33333333333333
F1-Placa-E1	250.5
F1-Placa-E2	279.14285714285717
F10-Placa-E2	149.0
F11-Placa-E2	159.16666666666666
F12-Placa-E2	246.0
F2-Placa-E1	141.0
F2-Placa-E2	221.85714285714286
F3-Placa-E2	145.6
F4-Placa-E2	152.0
F5-Placa-E2	134.0
F6-Placa-E2	211.5
F7-Placa-E2	146.0
F8-Placa-E2	189.33333333333334
F9-Placa-E2	147.0
G1-Placa-E1	208.5
G1-Placa-E2	197.2
G10-Placa-E2	269.42857142857144
G11-Placa-E2	187.25
G12-Placa-E2	190.0
G2-Placa-E1	180.0
G2-Placa-E2	131.0
G3-Placa-E2	115.0
G4-Placa-E2	125.75
G5-Placa-E2	168.0
G6-Placa-E2	181.16666666666666
G7-Placa-E2	163.6
G8-Placa-E2	174.33333333333334
G9-Placa-E2	234.0
H1-Placa-E1	188.0
H1-Placa-E2	191.0
H10-Placa-E2	147.0
H11-Placa-E2	271.1
H2-Placa-E1	209.75
H3-Placa-E2	165.0
H4-Placa-E2	127.0
H5-Placa-E2	229.5
H6-Placa-E2	223.25
H7-Placa-E2	201.2
H8-Placa-E2	145.0
H9-Placa-E2	193.0
