	fisher_alpha
A1-Placa-E2	32.21929650047046
A10-Placa-E2	23.533196406429077
A11-Placa-E2	39.76018054108588
A12-Placa-E2	29.713177193033214
A2-Placa-E2	27.623531605201116
A3-Placa-E1	30.480133235671147
A3-Placa-E2	22.07654242338514
A4-Placa-E2	20.99527763502042
A5-Placa-E2	25.749261653742014
A6-Placa-E2	33.1934566634975
A7-Placa-E2	40.36861858004051
A8-Placa-E2	17.98613982807802
A9-Placa-E2	21.174809165036667
B1-Placa-E2	49.288714256017784
B10-Placa-E2	32.02514192712391
B11-Placa-E2	33.388962179153886
B12-Placa-E2	28.190568652683986
B2-Placa-E1	38.14685174540452
B2-Placa-E2	32.4136776559837
B3-Placa-E1	26.308955162189907
B3-Placa-E2	24.636641747613776
B4-Placa-E2	38.3477831379647
B5-Placa-E2	27.4350025988585
B7-Placa-E2	27.81230276082536
B8-Placa-E2	34.960996045258504
B9-Placa-E2	32.21929650047046
C1-Placa-E1	30.86500566537856
C10-Placa-E2	25.00650479612749
C11-Placa-E2	25.191816419459293
C12-Placa-E2	31.6375148594601
C2-Placa-E1	35.95065028202205
C2-Placa-E2	25.191816419459293
C4-Placa-E2	34.960996045258504
C5-Placa-E2	31.83121451776702
C6-Placa-E2	23.71645883088195
C7-Placa-E2	39.76018054108588
C8-Placa-E2	29.52202311906132
C9-Placa-E2	40.36861858004051
D1-Placa-E1	32.60828481700624
D10-Placa-E2	24.26779799354389
D11-Placa-E2	14.724391352713177
D12-Placa-E2	44.05789448782143
D2-Placa-E1	34.960996045258504
D2-Placa-E2	25.93557745235092
D3-Placa-E2	28.190568652683986
D4-Placa-E2	20.10175554136392
D5-Placa-E2	30.096188865586303
D6-Placa-E2	24.26779799354389
D7-Placa-E2	30.480133235671147
D8-Placa-E2	20.458332823102676
D9-Placa-E2	26.683322724716273
E1-Placa-E1	37.34524321155703
E10-Placa-E2	25.191816419459293
E11-Placa-E2	34.76372000694602
E12-Placa-E2	23.71645883088195
E2-Placa-E1	40.57184479662603
E2-Placa-E2	25.749261653742014
E3-Placa-E2	22.62080555275928
E4-Placa-E2	22.257696902601776
E5-Placa-E2	24.452092026758436
E6-Placa-E2	33.7806422550089
E7-Placa-E2	34.960996045258504
E8-Placa-E2	29.33110427746084
E9-Placa-E2	18.160849837519134
F1-Placa-E1	42.20503922005038
F1-Placa-E2	46.34441518215466
F10-Placa-E2	22.984973881139467
F11-Placa-E2	24.821446289690343
F12-Placa-E2	41.182758270766946
F2-Placa-E1	21.534690497793594
F2-Placa-E2	36.74627258234235
F3-Placa-E2	22.257696902601776
F4-Placa-E2	23.533196406429077
F5-Placa-E2	20.279904832914248
F6-Placa-E2	34.369826840603444
F7-Placa-E2	22.439118277553387
F8-Placa-E2	30.480133235671147
F9-Placa-E2	21.715038194793227
G1-Placa-E1	32.80311743608803
G1-Placa-E2	32.02514192712391
G10-Placa-E2	46.34441518215466
G11-Placa-E2	30.096188865586303
G12-Placa-E2	30.288044728052217
G2-Placa-E1	28.56979457831975
G2-Placa-E2	19.74629769902401
G3-Placa-E2	16.9441247618804
G4-Placa-E2	18.686736545549
G5-Placa-E2	23.71645883088195
G6-Placa-E2	28.949974947162616
G7-Placa-E2	25.563195672958233
G8-Placa-E2	27.623531605201116
G9-Placa-E2	38.54892533009203
H1-Placa-E1	30.288044728052217
H1-Placa-E2	30.288044728052217
H10-Placa-E2	22.62080555275928
H11-Placa-E2	46.55346138132977
H2-Placa-E1	33.7806422550089
H3-Placa-E2	25.93557745235092
H4-Placa-E2	19.03877836742184
H5-Placa-E2	36.34803052218149
H6-Placa-E2	36.945715595151064
H7-Placa-E2	32.80311743608803
H8-Placa-E2	22.257696902601776
H9-Placa-E2	29.90456628593559
