	gini_index
A1-Placa-E2	0.9784594799054374
A10-Placa-E2	0.9818278329393223
A11-Placa-E2	0.9736496769109535
A12-Placa-E2	0.9808807249802994
A2-Placa-E2	0.9788862411347518
A3-Placa-E1	0.9810874704491725
A3-Placa-E2	0.9842702600472814
A4-Placa-E2	0.9832163278171788
A5-Placa-E2	0.9835747832939322
A6-Placa-E2	0.9790645232466509
A7-Placa-E2	0.9780120094562648
A8-Placa-E2	0.9838420803782506
A9-Placa-E2	0.9815276595744681
B1-Placa-E2	0.9691785342789598
B10-Placa-E2	0.9795212293144208
B11-Placa-E2	0.9800555082742317
B12-Placa-E2	0.9780299763593381
B2-Placa-E1	0.9718338849487785
B2-Placa-E2	0.9763495350669819
B3-Placa-E1	0.9785848069345942
B3-Placa-E2	0.9805569739952719
B4-Placa-E2	0.9759608195429472
B5-Placa-E2	0.9825976044129235
B7-Placa-E2	0.981592403467297
B8-Placa-E2	0.9768290622537431
B9-Placa-E2	0.9760467454688732
C1-Placa-E1	0.9814490149724192
C10-Placa-E2	0.9815173522458629
C11-Placa-E2	0.9845349724192277
C12-Placa-E2	0.9785251379038613
C2-Placa-E1	0.9780518518518518
C2-Placa-E2	0.9800388967691095
C4-Placa-E2	0.9797667139479905
C5-Placa-E2	0.9771199369582348
C6-Placa-E2	0.9798240504334121
C7-Placa-E2	0.975986256895193
C8-Placa-E2	0.9777136643026004
C9-Placa-E2	0.9718816390858944
D1-Placa-E1	0.9803646020488573
D10-Placa-E2	0.9811122773837667
D11-Placa-E2	0.9884626004728132
D12-Placa-E2	0.9713536012608353
D2-Placa-E1	0.9760818282111899
D2-Placa-E2	0.9800074704491726
D3-Placa-E2	0.9817722301024429
D4-Placa-E2	0.9861383136327817
D5-Placa-E2	0.9808479747832939
D6-Placa-E2	0.9791272498029945
D7-Placa-E2	0.9802054846335697
D8-Placa-E2	0.9851729550827423
D9-Placa-E2	0.979988305752561
E1-Placa-E1	0.9750830575256108
E10-Placa-E2	0.9803213238770686
E11-Placa-E2	0.9784227265563435
E12-Placa-E2	0.9814170527974784
E2-Placa-E1	0.9775622064617809
E2-Placa-E2	0.9798394956658787
E3-Placa-E2	0.9823862884160757
E4-Placa-E2	0.982121513002364
E5-Placa-E2	0.9822431205673758
E6-Placa-E2	0.9796326241134752
E7-Placa-E2	0.977605768321513
E8-Placa-E2	0.9789312214342002
E9-Placa-E2	0.9848315208825847
F1-Placa-E1	0.9723623955870764
F1-Placa-E2	0.9714726241134751
F10-Placa-E2	0.9824365957446809
F11-Placa-E2	0.9822110953506699
F12-Placa-E2	0.9719234988179669
F2-Placa-E1	0.9819169424743893
F2-Placa-E2	0.9746443498817967
F3-Placa-E2	0.9830553821907013
F4-Placa-E2	0.9830041922773838
F5-Placa-E2	0.9838806934594169
F6-Placa-E2	0.9787271237194641
F7-Placa-E2	0.9825633412135539
F8-Placa-E2	0.9768266036249015
F9-Placa-E2	0.9841888731284476
G1-Placa-E1	0.9792880693459417
G1-Placa-E2	0.9795336485421592
G10-Placa-E2	0.9689139795114263
G11-Placa-E2	0.9791920882584713
G12-Placa-E2	0.9777244129235618
G2-Placa-E1	0.9783232151300236
G2-Placa-E2	0.9825317888100866
G3-Placa-E2	0.9856164854215919
G4-Placa-E2	0.9869854058313633
G5-Placa-E2	0.9841802364066193
G6-Placa-E2	0.9788291252955083
G7-Placa-E2	0.9810180299448384
G8-Placa-E2	0.9803796059889677
G9-Placa-E2	0.9765041134751773
H1-Placa-E1	0.9806161702127659
H1-Placa-E2	0.9775562490149724
H10-Placa-E2	0.9818073758865248
H11-Placa-E2	0.9701401418439717
H2-Placa-E1	0.9757303388494878
H3-Placa-E2	0.9828360914105595
H4-Placa-E2	0.985446524822695
H5-Placa-E2	0.9759594956658787
H6-Placa-E2	0.9765166903073286
H7-Placa-E2	0.9796269503546099
H8-Placa-E2	0.983833853427896
H9-Placa-E2	0.9818515681639086
