	menhinick
A1-Placa-E2	1.6166632302368975
A10-Placa-E2	1.2410748030101435
A11-Placa-E2	1.9269319309894333
A12-Placa-E2	1.510518674716293
A2-Placa-E2	1.4207040508142432
A3-Placa-E1	1.5431785379534022
A3-Placa-E2	1.1757550765359255
A4-Placa-E2	1.1267652816802618
A5-Placa-E2	1.3390543927214706
A6-Placa-E2	1.6574880592832837
A7-Placa-E2	1.9514268284172651
A8-Placa-E2	0.9879608629225485
A9-Placa-E2	1.134930247489539
B1-Placa-E2	2.3025203582161873
B10-Placa-E2	1.6084982644276202
B11-Placa-E2	1.665653025092561
B12-Placa-E2	1.445198948242075
B2-Placa-E1	1.8616122045152153
B2-Placa-E2	1.6248281960461748
B3-Placa-E1	1.3635492901493025
B3-Placa-E2	1.2900645978658072
B4-Placa-E2	1.8697771703244925
B5-Placa-E2	1.412539085004966
B7-Placa-E2	1.4288690166235205
B8-Placa-E2	1.7309727515667792
B9-Placa-E2	1.6166632302368975
C1-Placa-E1	1.5595084695719568
C10-Placa-E2	1.3063945294843615
C11-Placa-E2	1.3145594952936388
C12-Placa-E2	1.5921683328090657
C2-Placa-E1	1.7717975806131654
C2-Placa-E2	1.3145594952936388
C4-Placa-E2	1.7309727515667792
C5-Placa-E2	1.600333298618343
C6-Placa-E2	1.2492397688194208
C7-Placa-E2	1.9269319309894333
C8-Placa-E2	1.5023537089070158
C9-Placa-E2	1.9514268284172651
D1-Placa-E1	1.632993161855452
D10-Placa-E2	1.2737346662472526
D11-Placa-E2	0.8328265125462805
D12-Placa-E2	2.0983962129842557
D2-Placa-E1	1.7309727515667792
D2-Placa-E2	1.347219358530748
D3-Placa-E2	1.445198948242075
D4-Placa-E2	1.0859404526338756
D5-Placa-E2	1.5268486063348476
D6-Placa-E2	1.2737346662472526
D7-Placa-E2	1.5431785379534022
D8-Placa-E2	1.1022703842524302
D9-Placa-E2	1.379879221767857
E1-Placa-E1	1.8289523412781061
E10-Placa-E2	1.3145594952936388
E11-Placa-E2	1.722807785757502
E12-Placa-E2	1.2492397688194208
E2-Placa-E1	1.9595917942265424
E2-Placa-E2	1.3390543927214706
E3-Placa-E2	1.2002499739637573
E4-Placa-E2	1.1839200423452028
E5-Placa-E2	1.28189963205653
E6-Placa-E2	1.6819829567111155
E7-Placa-E2	1.7309727515667792
E8-Placa-E2	1.4941887430977385
E9-Placa-E2	0.9961258287318258
F1-Placa-E1	2.0249115207007606
F1-Placa-E2	2.188210836886306
F10-Placa-E2	1.2165799055823117
F11-Placa-E2	1.2982295636750842
F12-Placa-E2	1.9840866916543742
F2-Placa-E1	1.1512601791080936
F2-Placa-E2	1.8044574438502745
F3-Placa-E2	1.1839200423452028
F4-Placa-E2	1.2410748030101435
F5-Placa-E2	1.094105418443153
F6-Placa-E2	1.7064778541389474
F7-Placa-E2	1.19208500815448
F8-Placa-E2	1.5431785379534022
F9-Placa-E2	1.159425144917371
G1-Placa-E1	1.6411581276647293
G1-Placa-E2	1.6084982644276202
G10-Placa-E2	2.188210836886306
G11-Placa-E2	1.5268486063348476
G12-Placa-E2	1.535013572144125
G2-Placa-E1	1.4615288798606296
G2-Placa-E2	1.069610521015321
G3-Placa-E2	0.9389710680668849
G4-Placa-E2	1.0206207261596576
G5-Placa-E2	1.2492397688194208
G6-Placa-E2	1.477858811479184
G7-Placa-E2	1.3308894269121934
G8-Placa-E2	1.4207040508142432
G9-Placa-E2	1.8779421361337698
H1-Placa-E1	1.535013572144125
H1-Placa-E2	1.535013572144125
H10-Placa-E2	1.2002499739637573
H11-Placa-E2	2.196375802695583
H2-Placa-E1	1.6819829567111155
H3-Placa-E2	1.347219358530748
H4-Placa-E2	1.036950657778212
H5-Placa-E2	1.78812751223172
H6-Placa-E2	1.8126224096595518
H7-Placa-E2	1.6411581276647293
H8-Placa-E2	1.1839200423452028
H9-Placa-E2	1.5186836405255704
