	observed_features
A1-Placa-E2	198
A10-Placa-E2	152
A11-Placa-E2	236
A12-Placa-E2	185
A2-Placa-E2	174
A3-Placa-E1	189
A3-Placa-E2	144
A4-Placa-E2	138
A5-Placa-E2	164
A6-Placa-E2	203
A7-Placa-E2	239
A8-Placa-E2	121
A9-Placa-E2	139
B1-Placa-E2	282
B10-Placa-E2	197
B11-Placa-E2	204
B12-Placa-E2	177
B2-Placa-E1	228
B2-Placa-E2	199
B3-Placa-E1	167
B3-Placa-E2	158
B4-Placa-E2	229
B5-Placa-E2	173
B7-Placa-E2	175
B8-Placa-E2	212
B9-Placa-E2	198
C1-Placa-E1	191
C10-Placa-E2	160
C11-Placa-E2	161
C12-Placa-E2	195
C2-Placa-E1	217
C2-Placa-E2	161
C4-Placa-E2	212
C5-Placa-E2	196
C6-Placa-E2	153
C7-Placa-E2	236
C8-Placa-E2	184
C9-Placa-E2	239
D1-Placa-E1	200
D10-Placa-E2	156
D11-Placa-E2	102
D12-Placa-E2	257
D2-Placa-E1	212
D2-Placa-E2	165
D3-Placa-E2	177
D4-Placa-E2	133
D5-Placa-E2	187
D6-Placa-E2	156
D7-Placa-E2	189
D8-Placa-E2	135
D9-Placa-E2	169
E1-Placa-E1	224
E10-Placa-E2	161
E11-Placa-E2	211
E12-Placa-E2	153
E2-Placa-E1	240
E2-Placa-E2	164
E3-Placa-E2	147
E4-Placa-E2	145
E5-Placa-E2	157
E6-Placa-E2	206
E7-Placa-E2	212
E8-Placa-E2	183
E9-Placa-E2	122
F1-Placa-E1	248
F1-Placa-E2	268
F10-Placa-E2	149
F11-Placa-E2	159
F12-Placa-E2	243
F2-Placa-E1	141
F2-Placa-E2	221
F3-Placa-E2	145
F4-Placa-E2	152
F5-Placa-E2	134
F6-Placa-E2	209
F7-Placa-E2	146
F8-Placa-E2	189
F9-Placa-E2	142
G1-Placa-E1	201
G1-Placa-E2	197
G10-Placa-E2	268
G11-Placa-E2	187
G12-Placa-E2	188
G2-Placa-E1	179
G2-Placa-E2	131
G3-Placa-E2	115
G4-Placa-E2	125
G5-Placa-E2	153
G6-Placa-E2	181
G7-Placa-E2	163
G8-Placa-E2	174
G9-Placa-E2	230
H1-Placa-E1	188
H1-Placa-E2	188
H10-Placa-E2	147
H11-Placa-E2	269
H2-Placa-E1	206
H3-Placa-E2	165
H4-Placa-E2	127
H5-Placa-E2	219
H6-Placa-E2	222
H7-Placa-E2	201
H8-Placa-E2	145
H9-Placa-E2	186
