	shannon_entropy
A1-Placa-E2	6.813607891337009
A10-Placa-E2	6.627946695751596
A11-Placa-E2	7.184572154046555
A12-Placa-E2	6.687982001631288
A2-Placa-E2	6.857924266088727
A3-Placa-E1	6.645474032252391
A3-Placa-E2	6.416018782159809
A4-Placa-E2	6.515624030522013
A5-Placa-E2	6.356009486309969
A6-Placa-E2	6.8240036170700575
A7-Placa-E2	6.763615760530121
A8-Placa-E2	6.431892685840211
A9-Placa-E2	6.646613914038903
B1-Placa-E2	7.315299065143691
B10-Placa-E2	6.780373621346128
B11-Placa-E2	6.682708986546592
B12-Placa-E2	6.890997032550378
B2-Placa-E1	7.275900807639286
B2-Placa-E2	7.010252639243017
B3-Placa-E1	6.864029367866708
B3-Placa-E2	6.7360959346702405
B4-Placa-E2	7.046012067029677
B5-Placa-E2	6.527973217612048
B7-Placa-E2	6.641682797679277
B8-Placa-E2	6.993012593188475
B9-Placa-E2	7.035026703018136
C1-Placa-E1	6.455982760964835
C10-Placa-E2	6.627066115139191
C11-Placa-E2	6.355961683289131
C12-Placa-E2	6.861144359528655
C2-Placa-E1	6.9039143493693755
C2-Placa-E2	6.774946757022406
C4-Placa-E2	6.806155229387364
C5-Placa-E2	6.981599821064129
C6-Placa-E2	6.777682996031508
C7-Placa-E2	7.056362211664711
C8-Placa-E2	6.9423450857534235
C9-Placa-E2	7.2817572565225355
D1-Placa-E1	6.491524031540762
D10-Placa-E2	6.67619265883472
D11-Placa-E2	5.874070409989262
D12-Placa-E2	7.296687506411968
D2-Placa-E1	7.02060631068648
D2-Placa-E2	6.783350944563522
D3-Placa-E2	6.603167462128459
D4-Placa-E2	6.237619483358135
D5-Placa-E2	6.7281717667122924
D6-Placa-E2	6.823046594473536
D7-Placa-E2	6.729839686114977
D8-Placa-E2	6.357774655827896
D9-Placa-E2	6.78679603695533
E1-Placa-E1	7.012115508960837
E10-Placa-E2	6.74186707686761
E11-Placa-E2	6.762430675941921
E12-Placa-E2	6.672716888276327
E2-Placa-E1	6.874656846444675
E2-Placa-E2	6.792995170774228
E3-Placa-E2	6.577132702755031
E4-Placa-E2	6.599832875463084
E5-Placa-E2	6.591847618475752
E6-Placa-E2	6.732420366329346
E7-Placa-E2	6.92096880151552
E8-Placa-E2	6.850332080819093
E9-Placa-E2	6.371080986494969
F1-Placa-E1	7.243323641108278
F1-Placa-E2	7.281801479670326
F10-Placa-E2	6.5909570428603
F11-Placa-E2	6.56880128036991
F12-Placa-E2	7.272062203224631
F2-Placa-E1	6.611088301583099
F2-Placa-E2	7.12178249313553
F3-Placa-E2	6.515299911794994
F4-Placa-E2	6.541685668939283
F5-Placa-E2	6.461852652246321
F6-Placa-E2	6.838380033670962
F7-Placa-E2	6.573878205428929
F8-Placa-E2	6.992363552391066
F9-Placa-E2	6.436687633063294
G1-Placa-E1	6.697541266466207
G1-Placa-E2	6.698869615802019
G10-Placa-E2	7.4138694458323675
G11-Placa-E2	6.832795526602158
G12-Placa-E2	6.90087308893343
G2-Placa-E1	6.853904696636797
G2-Placa-E2	6.565148559747172
G3-Placa-E2	6.286419307041825
G4-Placa-E2	6.143283261776327
G5-Placa-E2	6.408991680103312
G6-Placa-E2	6.852116918923422
G7-Placa-E2	6.69084827754003
G8-Placa-E2	6.757725428408292
G9-Placa-E2	7.006391715195029
H1-Placa-E1	6.571115211540991
H1-Placa-E2	6.948596103010425
H10-Placa-E2	6.618513142975966
H11-Placa-E2	7.372115173062288
H2-Placa-E1	7.0444478720688855
H3-Placa-E2	6.481756623698113
H4-Placa-E2	6.321423047850696
H5-Placa-E2	7.01265658693425
H6-Placa-E2	7.004501935360259
H7-Placa-E2	6.745057193891202
H8-Placa-E2	6.467869132809373
H9-Placa-E2	6.623095105987468
