	simpson
A1-Placa-E2	0.9854979555555555
A10-Placa-E2	0.9863627111111111
A11-Placa-E2	0.9906530311111111
A12-Placa-E2	0.9852260711111112
A2-Placa-E2	0.9894472533333334
A3-Placa-E1	0.9834961333333333
A3-Placa-E2	0.98345552
A4-Placa-E2	0.9858542666666666
A5-Placa-E2	0.9764042222222222
A6-Placa-E2	0.9865437066666667
A7-Placa-E2	0.9813266222222222
A8-Placa-E2	0.9856346311111112
A9-Placa-E2	0.9878173244444445
B1-Placa-E2	0.9891255377777778
B10-Placa-E2	0.9860191111111111
B11-Placa-E2	0.9823687733333333
B12-Placa-E2	0.9886765066666666
B2-Placa-E1	0.9920219288888888
B2-Placa-E2	0.9896992444444445
B3-Placa-E1	0.9887747111111111
B3-Placa-E2	0.9880878933333334
B4-Placa-E2	0.9893140977777778
B5-Placa-E2	0.9823024977777778
B7-Placa-E2	0.9851011288888889
B8-Placa-E2	0.9892266222222222
B9-Placa-E2	0.9902397244444444
C1-Placa-E1	0.9751390133333333
C10-Placa-E2	0.9852637422222222
C11-Placa-E2	0.9795353955555556
C12-Placa-E2	0.9875953511111111
C2-Placa-E1	0.9875623733333333
C2-Placa-E2	0.9886832177777778
C4-Placa-E2	0.9870692533333333
C5-Placa-E2	0.9898660355555555
C6-Placa-E2	0.9891116711111111
C7-Placa-E2	0.9895988
C8-Placa-E2	0.9896930577777778
C9-Placa-E2	0.9918353155555556
D1-Placa-E1	0.9744514933333334
D10-Placa-E2	0.9869569511111111
D11-Placa-E2	0.9705130311111111
D12-Placa-E2	0.9910919555555555
D2-Placa-E1	0.9887034222222222
D2-Placa-E2	0.9888039822222222
D3-Placa-E2	0.9836416355555555
D4-Placa-E2	0.9814054222222223
D5-Placa-E2	0.9871797155555555
D6-Placa-E2	0.9893220622222222
D7-Placa-E2	0.98513168
D8-Placa-E2	0.9837772888888889
D9-Placa-E2	0.9885933333333333
E1-Placa-E1	0.9867950044444445
E10-Placa-E2	0.9877480622222222
E11-Placa-E2	0.9825340533333333
E12-Placa-E2	0.9877179377777777
E2-Placa-E1	0.98502984
E2-Placa-E2	0.9886587644444444
E3-Placa-E2	0.9855464977777778
E4-Placa-E2	0.9862847555555555
E5-Placa-E2	0.9857521155555555
E6-Placa-E2	0.98374392
E7-Placa-E2	0.9876252355555556
E8-Placa-E2	0.9883379288888889
E9-Placa-E2	0.98514312
F1-Placa-E1	0.9909091111111111
F1-Placa-E2	0.9906492711111111
F10-Placa-E2	0.9862545955555555
F11-Placa-E2	0.9843086222222223
F12-Placa-E2	0.9912671555555556
F2-Placa-E1	0.9863094844444444
F2-Placa-E2	0.99060656
F3-Placa-E2	0.9847010044444444
F4-Placa-E2	0.9857165422222223
F5-Placa-E2	0.9848566311111111
F6-Placa-E2	0.9862112088888889
F7-Placa-E2	0.9861127644444444
F8-Placa-E2	0.9898667022222222
F9-Placa-E2	0.9845933155555555
G1-Placa-E1	0.98180168
G1-Placa-E2	0.9822204355555556
G10-Placa-E2	0.9920874311111111
G11-Placa-E2	0.9878628977777778
G12-Placa-E2	0.9880728888888889
G2-Placa-E1	0.9874911822222222
G2-Placa-E2	0.9869141955555556
G3-Placa-E2	0.9839194577777778
G4-Placa-E2	0.9794640977777778
G5-Placa-E2	0.9821307644444445
G6-Placa-E2	0.9882694311111111
G7-Placa-E2	0.9870659733333333
G8-Placa-E2	0.9875895288888888
G9-Placa-E2	0.9884490844444445
H1-Placa-E1	0.9786930222222222
H1-Placa-E2	0.9896628177777778
H10-Placa-E2	0.9860169777777777
H11-Placa-E2	0.9919183377777778
H2-Placa-E1	0.9896550488888889
H3-Placa-E2	0.9808476088888889
H4-Placa-E2	0.9836629511111111
H5-Placa-E2	0.9881739466666667
H6-Placa-E2	0.9886014311111111
H7-Placa-E2	0.9844811733333333
H8-Placa-E2	0.9844038488888889
H9-Placa-E2	0.9843479288888889
